Date,Price,Open,High,Low,Vol.,Change %
03/18/2025,368.98,368.98,368.98,368.98,,-0.18%
03/17/2025,369.63,369.63,369.63,369.63,,0.69%
03/14/2025,367.1,367.1,367.1,367.1,,-0.10%
03/13/2025,367.47,367.47,367.47,367.47,,-0.24%
03/12/2025,368.35,368.35,368.35,368.35,,0.28%
03/11/2025,367.31,367.31,367.31,367.31,,0.22%
03/10/2025,366.51,366.51,366.51,366.51,,-0.20%
03/07/2025,367.25,367.25,367.25,367.25,,0.67%
03/06/2025,364.82,364.82,364.82,364.82,,-0.12%
03/05/2025,365.26,365.26,365.26,365.26,,0.09%
03/04/2025,364.93,364.93,364.93,364.93,,0.33%
03/03/2025,363.73,363.73,363.73,363.73,,-0.48%
02/28/2025,365.48,365.48,365.48,365.48,,-1.36%
02/27/2025,370.52,370.52,370.52,370.52,,0.29%
02/26/2025,369.45,369.45,369.45,369.45,,-0.42%
02/25/2025,371,371,371,371,,-0.62%
02/24/2025,373.32,373.32,373.32,373.32,,-0.85%
02/21/2025,376.53,376.53,376.53,376.53,,-1.68%
02/20/2025,382.98,382.98,382.98,382.98,,0.00%
02/19/2025,382.99,382.99,382.99,382.99,,0.36%
02/18/2025,381.62,381.62,381.62,381.62,,1.16%
02/14/2025,377.26,377.26,377.26,377.26,,-0.34%
02/13/2025,378.57,378.57,378.57,378.57,,0.53%
02/12/2025,376.58,376.58,376.58,376.58,,-0.58%
02/11/2025,378.76,378.76,378.76,378.76,,0.47%
02/10/2025,377,377,377,377,,1.50%
02/07/2025,371.44,371.44,371.44,371.44,,0.03%
02/06/2025,371.33,371.33,371.33,371.33,,-0.16%
02/05/2025,371.92,371.92,371.92,371.92,,-0.42%
02/04/2025,373.47,373.47,373.47,373.47,,0.14%
02/03/2025,372.96,372.96,372.96,372.96,,1.33%
01/31/2025,368.05,368.05,368.05,368.05,,-0.46%
01/30/2025,369.74,369.74,369.74,369.74,,-0.38%
01/29/2025,371.14,371.14,371.14,371.14,,0.45%
01/28/2025,369.46,369.46,369.46,369.46,,0.30%
01/27/2025,368.34,368.34,368.34,368.34,,-1.42%
01/24/2025,373.63,373.63,373.63,373.63,,0.17%
01/23/2025,373.01,373.01,373.01,373.01,,0.00%
01/22/2025,373,373,373,373,,0.18%
01/21/2025,372.33,372.33,372.33,372.33,,-0.66%
