Date,Price,Open,High,Low,Vol.,Change %
05/07/2025,"3,522.81","3,560.40","3,588.53","3,516.16",,-1.03%
05/06/2025,"3,559.37","3,500.14","3,578.47","3,500.14",,1.71%
05/05/2025,"3,499.51","3,507.08","3,524.73","3,473.48",,-0.75%
05/02/2025,"3,525.82","3,526.49","3,551.07","3,510.80",,-0.01%
05/01/2025,"3,526.08","3,508.41","3,530.96","3,459.91",,0.42%
04/30/2025,"3,511.24","3,581.88","3,581.88","3,502.62",,-1.96%
04/29/2025,"3,581.46","3,627.35","3,629.67","3,576.71",,-1.25%
04/28/2025,"3,626.91","3,639.50","3,651.18","3,612.84",,-0.31%
04/25/2025,"3,638.22","3,636.66","3,651.47","3,607.28",,0.15%
04/24/2025,"3,632.95","3,608.05","3,638.34","3,606.69",,0.70%
04/23/2025,"3,607.62","3,637.93","3,673.49","3,583.99",,-0.99%
04/22/2025,"3,643.53","3,602.99","3,661.66","3,602.99",,1.18%
04/21/2025,"3,601.06","3,639.90","3,639.91","3,594.95",,-1.17%
04/17/2025,"3,643.72","3,594.57","3,651.35","3,594.57",,1.43%
04/16/2025,"3,592.48","3,547.14","3,600.16","3,522.94",,1.33%
04/15/2025,"3,545.22","3,552.51","3,571.85","3,532.92",,-0.19%
04/14/2025,"3,551.93","3,551.44","3,583.93","3,536.86",,0.03%
04/11/2025,"3,550.78","3,498.04","3,557.24","3,480.77",,1.60%
04/10/2025,"3,494.79","3,526.62","3,570.62","3,462.51",,-0.85%
04/09/2025,"3,524.74","3,440.66","3,537.63","3,328.00",,2.47%
04/08/2025,"3,439.73","3,482.51","3,524.11","3,426.52",,-1.04%
04/07/2025,"3,475.86","3,509.33","3,601.17","3,441.68",,-1.53%
04/04/2025,"3,530.01","3,714.46","3,715.43","3,490.69",,-4.93%
04/03/2025,"3,713.09","3,834.12","3,834.12","3,697.92",,-3.78%
04/02/2025,"3,858.78","3,837.80","3,863.14","3,820.15",,0.56%
04/01/2025,"3,837.37","3,835.29","3,853.57","3,825.80",,0.07%
03/31/2025,"3,834.68","3,783.54","3,837.94","3,774.99",,1.39%
03/28/2025,"3,782.22","3,794.78","3,797.79","3,765.82",,-0.30%
03/27/2025,"3,793.68","3,787.01","3,797.03","3,763.35",,0.19%
03/26/2025,"3,786.61","3,778.43","3,804.22","3,778.20",,0.23%
03/25/2025,"3,777.99","3,777.58","3,801.51","3,764.06",,0.02%
03/24/2025,"3,777.14","3,765.58","3,789.97","3,756.32",,0.36%
03/21/2025,"3,763.66","3,774.13","3,785.27","3,754.99",,-0.27%
03/20/2025,"3,773.69","3,756.34","3,777.71","3,737.98",,0.53%
03/19/2025,"3,753.94","3,735.03","3,764.24","3,720.93",,0.51%
